ID,Seller,Category,Locations,Price,Currency,Rooms,Area,Floor
2847855,Agentlik,Yeni tikili,['Nasimi r.'],230000,AZN,3,170.0,20
2905009,Owner,Yeni tikili,"['Nariman Narimanov m.', 'Narimanov r.']",420000,AZN,4,206.0,16
2845490,Agentlik,Yeni tikili,['Narimanov r.'],298000,AZN,3,168.0,10
2899149,Agentlik,Yeni tikili,['Narimanov r.'],230000,AZN,3,168.0,20
2917118,Agentlik,Yeni tikili,"['Azadliq Prospekti m.', 'Binaqadi r.']",188000,AZN,3,130.0,9
2917116,Agentlik,Kohna tikili,['Narimanov r.'],141000,AZN,3,85.0,5
2917114,Owner,Kohna tikili,"['Nasimi m.', 'Binaqadi r.', '6-ci mikrorayon q.']",92000,AZN,2,55.0,2
2917113,Agentlik,Yeni tikili,"['Qara Qarayev m.', 'Nizami r.']",125000,AZN,2,63.0,9
2917112,Owner,Yeni tikili,['Absheron r.'],73000,AZN,3,63.0,13
2917110,Agentlik,Kohna tikili,['Yasamal r.'],155000,AZN,4,100.0,5
2776676,Owner,Yeni tikili,"['Sabail r.', 'Badamdar q.']",184000,AZN,3,90.0,8
2917109,Agentlik,Yeni tikili,"['28 May m.', 'Nasimi r.']",265000,AZN,3,165.0,7
2917108,Owner,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",150000,AZN,2,96.0,10
2917107,Agentlik,Yeni tikili,"['Yasamal r.', 'Yasamal q.']",192000,AZN,4,160.0,5
2917106,Agentlik,Yeni tikili,"['Yasamal r.', 'Yasamal q.']",199000,AZN,2,103.0,25
2917105,Owner,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",128000,AZN,3,85.0,11
2917104,Owner,Kohna tikili,['Nasimi r.'],235000,AZN,3,80.0,2
2917103,Agentlik,Kohna tikili,"['Nariman Narimanov m.', 'Narimanov r.']",112000,AZN,3,75.0,4
2917101,Owner,Kohna tikili,"['20 Yanvar m.', 'Nasimi r.', '1-ci mikrorayon q.']",77000,AZN,2,55.0,5
2917100,Owner,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",114000,AZN,2,84.0,12
